ItemName	Type
Item_LingStone	原料
Item_LingCrystal	原料
Item_SoulCrystalYou	原料
Item_SoulCrystalNing	原料
Item_SoulCrystalLing	原料
Item_BrownRock	原料
Item_GrayRock	原料
Item_Marble	原料
Item_Jade	原料
Item_JadeEssence	原料
Item_StoneEssence	原料
Item_SkyStone	原料
Item_ExtremeJade	原料
Item_IronRock	原料
Item_CopperRock	原料
Item_SilverRock	原料
Item_DarksteelRock	原料
Item_StarEssence	原料
Item_Wood	原料
Item_HardWood	原料
Item_ParasolWood	原料
Item_LingWood	原料
Item_BoarLeather	原料
Item_RabbitLeather	原料
Item_BearLeather	原料
Item_WolfLeather	原料
Item_FeiLeather	原料
Item_LuShuLeather	原料
Item_YaoLeather	原料
Item_YaoLeather1	原料
Item_SilverGrit	原料
Item_CopperGrit	原料
Item_Cinnabar	原料
Item_LingMuXueJie	原料
Item_EarthEssence	原料
Item_EarthEssence1	原料
Item_EarthEssence_1	原料
Item_EarthEssence1_1	原料
Item_LifeStream	原料
Item_Ginseng	原料
Item_GanodermaLucidum	原料
Item_RedGinseng	原料
Item_PurpleGanodermaLucidum	原料
Item_SoulPearl	原料
Item_MonsterBlood	原料
Item_Mint	原料
Item_MagicHerb	原料
Item_Ginkgo	原料
Item_SnakeGallbladder	原料
Item_BearGallbladder	原料
Item_Healroot	原料
Item_Grass	原料
Item_Cotton	原料
Item_Shit	原料
Item_DragonShit	原料
Item_HorribleMeal	药食
Item_HomeFood	药食
Item_DeliciousFood	药食
Item_DelicacyFood	药食
Item_GuanyinMud	药食
Item_Water	药食
Item_DirtyWater	药食
Item_Hemostatics	药食
Item_SmallCycle	药食
Item_Plaster	药食
Item_StoneEssenceDrug	药食
Item_Anodyne	药食
Item_Laxative	药食
Item_Fruit	药食
Item_LingWater	药食
Item_ZaoHuaYuLu	药食
Item_Cake	药食
Item_Jerky	药食
Item_PreservedFruit	药食
Item_Yao_BoarMeat	药食
Item_Flour	药食
Item_Pear	药食
Item_Wheat	药食
Item_Mushroom	药食
Item_Lotusroot	药食
Item_BoarMeat	药食
Item_FrogMeat	药食
Item_TurtleMeat	药食
Item_BearMeat	药食
Item_Beef	药食
Item_RabbitMeat	药食
Item_ChickenMeat	药食
Item_WolfMeat	药食
Item_FishMeat	药食
Item_SnakeMeat	药食
Item_ChickenEgg	药食
Item_SnakeEgg	药食
Item_TurtleEgg	药食
Item_LongEgg	药食
Item_FengEgg	药食
Item_Jiaozi	药食
Item_Dan_Fail1	灵丹
Item_Dan_Fail2	灵丹
Item_Dan_Fail3	灵丹
Item_Dan_Fail4	灵丹
Item_Dan_Fail5	灵丹
Item_BasePracticeDrug	灵丹
Item_Dan_JingYuan	灵丹
Item_Dan_JingYuan2	灵丹
Item_Dan_JingYuan3	灵丹
Item_Dan_Ling	灵丹
Item_Dan_Ling2	灵丹
Item_Dan_PracticeRate	灵丹
Item_Dan_PracticeSpeed	灵丹
Item_Dan_CalmDown	灵丹
Item_Dan_Happiness	灵丹
Item_Dan_NoHunger	灵丹
Item_Dan_NoHunger2	灵丹
Item_Dan_NoHunger1	灵丹
Item_Dan_LostSoul	灵丹
Item_Dan_DredgeQi1	灵丹
